ParticipantNumber,Condition,conditiongroup,cond2,Participate,part,ValidEmail,ValidEmailYes1No0,Age,AgeRange,Whatisyouryearofbirth,Gender,M,Race,Religion,P,EducationLevel,R,QuestionTypePrefer,AttitudetoLatePayment,U,cond1,agecat,gender,edu,ethn,rel
184,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,30,30-35,1992,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,2.0,Female,Graduate or professional degree,White,Christian
185,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,27,25-29,1995,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Graduate or professional degree,White,Christian
186,Control Condition,Control Condition,Control,No,No,Yes,1,31,30-35,1991,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,2.0,Female,Graduate or professional degree,White,Christian
187,Control Condition,Control Condition,Control,No,No,Yes,1,26,25-29,1996,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Female,Bachelor's degree,White,Christian
188,Control Condition,Control Condition,Control,No,No,Yes,1,30,30-35,1992,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,2.0,Male,Bachelor's degree,White,Christian
189,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,25,25-29,1997,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Bachelor's degree,Asian,Christian
190,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,27,25-29,1995,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Bachelor's degree,White,Christian
191,Control Condition,Control Condition,Control,No,No,Yes,1,32,30-35,1990,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Open-ended questions (e.g. text entry),Definitely yes,,Control,2.0,Female,Bachelor's degree,White,Christian
192,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,24,20-24,1998,0,Female,6,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,20-24,Female,Graduate or professional degree,Black,No religion
193,Control Condition,Control Condition,Control,No,No,Yes,1,23,20-24,1999,0,Female,6,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Probably yes,,Control,20-24,Female,Graduate or professional degree,Black,No religion
194,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,24,20-24,1998,0,Female,6,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Probably yes,,Control,20-24,Female,Graduate or professional degree,Black,No religion
195,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,24,20-24,1998,0,Female,5,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Probably yes,,Control,20-24,Female,Graduate or professional degree,White,No religion
196,Control Condition,Control Condition,Control,No,No,Yes,1,29,25-29,1993,0,Female,6,4,Buddhist,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Probably yes,,Control,25-29,Female,Graduate or professional degree,Black,Ohter religion
197,Control Condition,Control Condition,Control,No,No,Yes,1,28,25-29,1994,0,Female,6,2,No Religion,2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Probably yes,,Control,25-29,Female,Bachelor's degree,Black,No religion
198,Control Condition,Control Condition,Control,No,No,Yes,1,24,20-24,1998,0,Female,6,2,No Religion,2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Probably no,,Control,20-24,Female,Bachelor's degree,Black,No religion
199,Control Condition,Control Condition,Control,No,No,Yes,1,25,25-29,1997,0,Female,6,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",,,,Control,25-29,Female,Graduate or professional degree,Black,No religion
200,Control Condition,Control Condition,Control,No,No,Yes,1,24,20-24,1998,0,Female,6,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,20-24,Female,Graduate or professional degree,Black,No religion
201,Control Condition,Control Condition,Control,No,No,Yes,1,20,20-24,2002,0,Female,6,2,No Religion,2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Probably yes,,Control,20-24,Female,Bachelor's degree,Black,No religion
203,Control Condition,Control Condition,Control,No,No,Yes,1,20,20-24,2002,0,Female,6,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Probably yes,,Control,20-24,Female,Graduate or professional degree,Black,No religion
204,Control Condition,Control Condition,Control,No,No,Yes,1,35,30-35,1987,0,Female,6,2,No Religion,2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Probably yes,,Control,2.0,Female,Bachelor's degree,Black,No religion
202,Control Condition,Control Condition,Control,No,No,Yes,1,23,20-24,1999,0,Female,6,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Probably yes,,Control,20-24,Female,Graduate or professional degree,Black,No religion
205,Control Condition,Control Condition,Control,No,No,Yes,1,22,20-24,2000,0,Female,6,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,20-24,Female,Bachelor's degree,Black,Christian
206,Control Condition,Control Condition,Control,No,No,Yes,1,21,20-24,2001,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,20-24,Male,Bachelor's degree,White,Christian
207,Control Condition,Control Condition,Control,No,No,Yes,1,24,20-24,1998,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Control,20-24,Male,Bachelor's degree,White,Christian
208,Control Condition,Control Condition,Control,No,No,Yes,1,25,25-29,1997,0,Female,5,5,Jewish,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Open-ended questions (e.g. text entry),Definitely yes,,Control,25-29,Female,Graduate or professional degree,White,Ohter religion
209,Control Condition,Control Condition,Control,No,No,Yes,1,26,25-29,1996,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Control,25-29,Female,Graduate or professional degree,Asian,Christian
210,Control Condition,Control Condition,Control,No,No,Yes,1,22,20-24,2000,1,Male,2,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,20-24,Male,Graduate or professional degree,Other,Christian
